target_month,actual_mom_pct,published_at,retrieved_at,source_url,content_sha256,notes
2026-08,0.40,,,,handoff-20260914,Published result preserved from authoritative handoff; source snapshot unavailable.
2026-05,0.5,2026-06-10T09:30:00+08:00,2026-09-14T06:27:09.447902+00:00,https://www.stats.gov.cn/sj/zxfb/202606/t20260610_1963922.html,b3226c07e013db99f170b53454e827c3796731276d101bc8f39e076033ee6b42,Official NBS headline PPI MoM parsed from release text.
2026-06,-0.3,2026-07-09T09:30:00+08:00,2026-09-14T06:27:09.447902+00:00,https://www.stats.gov.cn/sj/zxfb/202607/t20260709_1964083.html,abc018326fbd23f3194c6ba3c6e82d6d14b5689ea1ccd3770009968fea583c98,Official NBS headline PPI MoM parsed from release text.
2026-07,-0.7,2026-08-09T09:30:00+08:00,2026-09-14T06:27:09.447902+00:00,https://www.stats.gov.cn/sj/zxfb/202608/t20260809_1965007.html,b323261248c08ecba00a96cf4401654896fd8a5709ce9bf81c2e38f7d5fbef09,Official NBS headline PPI MoM parsed from release text.
2026-08,0.4,2026-09-09T09:30:00+08:00,2026-09-14T06:27:09.447902+00:00,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,46fda2cc27a2052cb357b288e44d60f8c36daccdfd8bd5d61e755ea881981b57,Official NBS headline PPI MoM parsed from release text.
