forecast_id,target_month,as_of,as_of_precision,vintage,model_key,model_label,model_version,model_provenance,estimate_mom_pct,data_cutoff,feature_hash,code_commit,status,created_at,actual_mom_pct,notes
dbb67f42c8b6cb00011bb13f,2026-09,2026-09-14T19:40:00+08:00,timestamp,early,random_forest,Random forest,reconstructed-v1-early,reconstructed,0.5153152257464759,2026-09-14T19:40:00+08:00,74d55289913d74a01c4ad37c1cade5a767aef39a9cc2b47a60df4f8443307843,8ca4d4fcc4c0f3b56a10dd558ad82f1e989c1a1e,frozen_pre_release,2026-09-14T11:36:41.015384+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
2935bf07ef4cd00093d386e1,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,category_factor_regression,Category-factor regression,reconstructed-v2-early,reconstructed,0.04791737127526907,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
9b01d180e45a61c9c3fe218f,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,gradient_boosting,Gradient boosting,reconstructed-v2-early,reconstructed,0.48904063615396154,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
d9b21e1d35ec1c30c95a4d00,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,economic_ml_hybrid,Economic + ML hybrid,reconstructed-v2-early,reconstructed,0.2721627684605367,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
f9326eb111ed3ff1a50a5d4b,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,product_level_ridge,Product-level ridge,reconstructed-v2-early,reconstructed,0.7943485012828573,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
08583c3c6b4fb7d94f9e5280,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,sector_first_aggregation,Sector-first aggregation,reconstructed-v2-early,reconstructed,-0.02608052737396372,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
b08a1e0694792edeac98313e,2026-09,2026-09-16T16:58:21.013573+08:00,timestamp,early,random_forest,Random forest,reconstructed-v2-early,reconstructed,0.5153152257464759,2026-09-16T16:58:21.013573+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,da95fc4ed1da61a38e38eecfe49b37a3cd67c91f,frozen_pre_release,2026-09-16T08:59:01.634438+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
f43d68bf6cdd107f4ff2a6d1,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,category_factor_regression,Category-factor regression,reconstructed-v3-early,reconstructed,0.024454753168522053,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
af63437fa2837dbdd8ba2fa0,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,gradient_boosting,Gradient boosting,reconstructed-v3-early,reconstructed,0.76984070028641,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
80a525cbd94802944fbfe717,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,economic_ml_hybrid,Economic + ML hybrid,reconstructed-v3-early,reconstructed,0.7281696943030016,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
