variant,panel,model,regime,n,mae,rmse,median_absolute_error,bias,maximum_absolute_error,directional_accuracy
early,union,catboost,large_negative_le_-0.5,15,0.5084500586807311,0.5603684698318289,0.41236876841062553,0.5084500586807311,0.9410018504321251,1.0
early,union,catboost,large_positive_ge_0.5,29,0.5966432141798104,0.7057936118048207,0.5557139112098743,-0.5966432141798104,1.5155815719352408,0.896551724137931
early,union,catboost,small_absolute_change_lt_0.5,75,0.18908143755826506,0.23801690523533253,0.1727134696976267,-0.047193900403303186,0.6581906451473366,0.6266666666666667
early,union,histgb,large_negative_le_-0.5,15,0.44664849510404464,0.51699449718362,0.397588308231338,0.44664849510404464,1.0289595244446463,0.9333333333333333
early,union,histgb,large_positive_ge_0.5,29,0.5537355302655014,0.6775248639681724,0.4564012473452993,-0.5480921108637671,1.7289349337505722,0.7931034482758621
early,union,histgb,small_absolute_change_lt_0.5,75,0.2374215084053633,0.297950914852765,0.228124054454975,-0.03184829165199552,0.9464836674661298,0.5866666666666667
early,union,historical_mean,large_negative_le_-0.5,15,0.9091590498455041,0.9575048457426484,0.8603773584905661,0.9091590498455041,1.4157894736842105,0.06666666666666667
early,union,historical_mean,large_positive_ge_0.5,29,1.0032509475799207,1.105479782221431,0.9242424242424242,-1.0032509475799207,2.4080459770114944,0.4827586206896552
early,union,historical_mean,small_absolute_change_lt_0.5,75,0.22805402595712654,0.2660127942503453,0.2226190476190477,0.01660748228613323,0.5259259259259259,0.36
early,union,last_available_actual,large_negative_le_-0.5,15,0.5133333333333333,0.6180614856144978,0.49999999999999994,0.42000000000000004,1.3,0.6666666666666666
early,union,last_available_actual,large_positive_ge_0.5,29,0.5586206896551725,0.6848105703341467,0.5,-0.24137931034482757,1.8,0.896551724137931
early,union,last_available_actual,small_absolute_change_lt_0.5,75,0.33866666666666667,0.5356615847093511,0.2,-0.021333333333333333,2.5,0.6266666666666667
early,union,lightgbm,large_negative_le_-0.5,15,0.4513615691493572,0.5118211795146801,0.42986088293152475,0.4513615691493572,0.952628495614662,1.0
early,union,lightgbm,large_positive_ge_0.5,29,0.5724077064539979,0.6881769328896671,0.47053567267975893,-0.5650124625181796,1.6317638425220164,0.8620689655172413
early,union,lightgbm,small_absolute_change_lt_0.5,75,0.20737046975156617,0.26096086239417715,0.1851306203920948,-0.03128941097789961,0.8805264719417435,0.6
early,union,no_change,large_negative_le_-0.5,15,0.8533333333333333,0.9003702941938204,0.8,0.8533333333333333,1.3,0.0
early,union,no_change,large_positive_ge_0.5,29,0.9517241379310345,1.0635010497214474,0.8,-0.9517241379310345,2.5,0.0
early,union,no_change,small_absolute_change_lt_0.5,75,0.20933333333333337,0.24738633753705966,0.2,0.003999999999999999,0.4,0.13333333333333333
early,union,ridge,large_negative_le_-0.5,15,0.3465996405526192,0.46759715829709014,0.27711275653911616,0.18005673360091848,1.1958909324246296,0.9333333333333333
early,union,ridge,large_positive_ge_0.5,29,0.5501202319989801,1.3363411579795976,0.23435375804176023,-0.03876583375997941,6.840368506986969,0.9655172413793104
early,union,ridge,small_absolute_change_lt_0.5,75,0.26106953933679944,0.38391445722672357,0.1833445672148489,0.000335289208995723,1.776162325916194,0.6
early,union,xgboost,large_negative_le_-0.5,15,0.4460345467676719,0.5158473259076396,0.3566898316144944,0.4460345467676719,0.9894224237650633,1.0
early,union,xgboost,large_positive_ge_0.5,29,0.579171576453694,0.6883652841741097,0.4909279942512512,-0.5674255932970295,1.5125210881233215,0.8620689655172413
early,union,xgboost,small_absolute_change_lt_0.5,75,0.21332379951328043,0.2691063177854478,0.1952206492424011,-0.037875731783608584,0.8214267253875732,0.6133333333333333
early_carry,union,catboost,large_negative_le_-0.5,15,0.5269217864963397,0.5936867954000397,0.4080622330100997,0.5269217864963397,0.9616505621276619,1.0
early_carry,union,catboost,large_positive_ge_0.5,28,0.6195382023226136,0.7173063248814686,0.5753779720278199,-0.6195382023226136,1.519976134104784,0.8571428571428571
early_carry,union,catboost,small_absolute_change_lt_0.5,73,0.19366178483800908,0.25323260624810495,0.166587484860468,-0.07351680765462366,0.7125949918356819,0.6301369863013698
early_carry,union,histgb,large_negative_le_-0.5,15,0.46735975639291044,0.5155246238404185,0.42533358343542926,0.46735975639291044,0.8612025522830392,1.0
early_carry,union,histgb,large_positive_ge_0.5,28,0.5531502125123988,0.6689015751290801,0.49310544319909433,-0.5531502125123988,1.5559234618534676,0.8214285714285714
early_carry,union,histgb,small_absolute_change_lt_0.5,73,0.245139113274231,0.3063749145160849,0.22993532960524557,-0.04004968059922483,1.0152686681983596,0.5753424657534246
early_carry,union,historical_mean,large_negative_le_-0.5,15,0.9029842037467828,0.9516033910005625,0.8557692307692307,0.9029842037467828,1.4106382978723404,0.13333333333333333
early_carry,union,historical_mean,large_positive_ge_0.5,28,1.0196370392987573,1.1219655559030006,0.9561510628674807,-1.0196370392987573,2.4139534883720932,0.4642857142857143
early_carry,union,historical_mean,small_absolute_change_lt_0.5,73,0.23083689787883974,0.26925152507149014,0.22113821138211381,0.007037925345731042,0.5259259259259259,0.3561643835616438
early_carry,union,last_available_actual,large_negative_le_-0.5,15,0.5133333333333333,0.6180614856144978,0.49999999999999994,0.42000000000000004,1.3,0.6666666666666666
early_carry,union,last_available_actual,large_positive_ge_0.5,28,0.5428571428571428,0.6708203932499369,0.5,-0.2857142857142857,1.8,0.8928571428571429
early_carry,union,last_available_actual,small_absolute_change_lt_0.5,73,0.3479452054794521,0.5442098708785461,0.2,-0.01917808219178082,2.5,0.6164383561643836
early_carry,union,lightgbm,large_negative_le_-0.5,15,0.47307001726776715,0.5457220244529588,0.3857954566806874,0.47307001726776715,0.9868974058314023,1.0
early_carry,union,lightgbm,large_positive_ge_0.5,28,0.5847903125757232,0.6945996432693406,0.5105306787744066,-0.5847903125757232,1.616510410822345,0.8571428571428571
early_carry,union,lightgbm,small_absolute_change_lt_0.5,73,0.2094826334210384,0.26482006126794644,0.1911099814276791,-0.05019609763450007,0.9317300753713729,0.6027397260273972
early_carry,union,no_change,large_negative_le_-0.5,15,0.8533333333333333,0.9003702941938204,0.8,0.8533333333333333,1.3,0.0
early_carry,union,no_change,large_positive_ge_0.5,28,0.9642857142857144,1.0763695594782623,0.8,-0.9642857142857144,2.5,0.0
early_carry,union,no_change,small_absolute_change_lt_0.5,73,0.21369863013698628,0.2504789931858504,0.2,0.002739726027397261,0.4,0.1232876712328767
early_carry,union,ridge,large_negative_le_-0.5,15,0.3239902558274407,0.4753433745100869,0.17639139746920574,0.17145103991443147,1.2454662103307756,0.9333333333333333
early_carry,union,ridge,large_positive_ge_0.5,28,0.44728666335825057,0.5928426329731734,0.3244668765074331,-0.27260758474522223,1.518832222640054,0.8928571428571429
early_carry,union,ridge,small_absolute_change_lt_0.5,73,0.3372299803803457,0.5337458733065179,0.21834913423056368,-0.02803378231499215,2.716665654554179,0.589041095890411
early_carry,union,xgboost,large_negative_le_-0.5,15,0.44272623842582104,0.5208249759088817,0.42878153026103977,0.44272623842582104,0.9960151189006866,1.0
early_carry,union,xgboost,large_positive_ge_0.5,28,0.6078724844913398,0.7178241779534212,0.5178735733032227,-0.6047248636771526,1.5904871225357056,0.8214285714285714
early_carry,union,xgboost,small_absolute_change_lt_0.5,73,0.21589136837586145,0.27376997059262886,0.1750952303409576,-0.04729524904428278,0.8605173587799072,0.589041095890411
final,union,catboost,large_negative_le_-0.5,15,0.5373300769403062,0.5924129075031362,0.4646581476036101,0.5373300769403062,0.9120303318942984,1.0
final,union,catboost,large_positive_ge_0.5,24,0.5509608769361914,0.678019499351572,0.4638609902257987,-0.5504477676368907,1.5608956329402708,0.9166666666666666
final,union,catboost,small_absolute_change_lt_0.5,68,0.2003454282697344,0.2536076828936966,0.1902210349581992,-0.04938099404729585,0.660272645578628,0.5882352941176471
final,union,histgb,large_negative_le_-0.5,15,0.4811599870535414,0.55396998943962,0.5166216624691775,0.4811599870535414,1.0346709528846734,0.8
final,union,histgb,large_positive_ge_0.5,24,0.4649254666646369,0.6144282343996031,0.37171248745783686,-0.43730126413259923,1.5029886928801641,1.0
final,union,histgb,small_absolute_change_lt_0.5,68,0.2453482776208133,0.30276430613443756,0.22349818765762836,-0.033364236200928044,0.7689810921826773,0.45588235294117646
final,union,historical_mean,large_negative_le_-0.5,15,0.91228128509811,0.9606971674439361,0.8530612244897959,0.91228128509811,1.4126436781609195,0.0
final,union,historical_mean,large_positive_ge_0.5,24,0.9803660057941886,1.0985317161971524,0.884306887532694,-0.9803660057941886,2.4,0.625
final,union,historical_mean,small_absolute_change_lt_0.5,68,0.22447219492634618,0.2638718707860665,0.2376752639778431,0.016268516534778576,0.52,0.38235294117647056
final,union,last_available_actual,large_negative_le_-0.5,15,0.5133333333333333,0.6180614856144978,0.49999999999999994,0.42000000000000004,1.3,0.6666666666666666
final,union,last_available_actual,large_positive_ge_0.5,24,0.4875,0.6167792689987778,0.30000000000000004,-0.24583333333333335,1.3,0.9166666666666666
final,union,last_available_actual,small_absolute_change_lt_0.5,68,0.34852941176470587,0.5370124327622001,0.2,-0.0044117647058823485,2.5,0.6029411764705882
final,union,lightgbm,large_negative_le_-0.5,15,0.46186049060101625,0.5292989379061795,0.40830448018325655,0.46186049060101625,0.870284373588831,0.9333333333333333
final,union,lightgbm,large_positive_ge_0.5,24,0.5123875311181916,0.6575836089453309,0.3805946720966949,-0.4921996916712952,1.6585787755567214,1.0
final,union,lightgbm,small_absolute_change_lt_0.5,68,0.235559689067107,0.28495382988335805,0.206315097209124,-0.04784679550024023,0.7808604581966387,0.5
final,union,no_change,large_negative_le_-0.5,15,0.8533333333333333,0.9003702941938204,0.8,0.8533333333333333,1.3,0.0
final,union,no_change,large_positive_ge_0.5,24,0.9583333333333334,1.0774197572595992,0.8,-0.9583333333333334,2.5,0.0
final,union,no_change,small_absolute_change_lt_0.5,68,0.2088235294117647,0.24852506087385423,0.2,-1.6326809185664067e-18,0.4,0.14705882352941177
final,union,ridge,large_negative_le_-0.5,15,0.2924827579170912,0.4149873608911093,0.1987490896596219,0.2646373300981002,1.1586656484952538,0.9333333333333333
final,union,ridge,large_positive_ge_0.5,24,0.31999509309055,0.3766441716059513,0.31653678809042807,-0.19895859785233605,0.7380718452833597,1.0
final,union,ridge,small_absolute_change_lt_0.5,68,0.3294082903517883,0.6924397355647934,0.17100917287216993,0.009630695000371019,4.700151618925365,0.6323529411764706
final,union,xgboost,large_negative_le_-0.5,15,0.47676629561930894,0.5479419435466297,0.5196250200271606,0.47676629561930894,0.9078367426991463,0.8666666666666667
final,union,xgboost,large_positive_ge_0.5,24,0.49259348238507905,0.6432612662240279,0.3693344153463841,-0.4822206310927868,1.598769187927246,1.0
final,union,xgboost,small_absolute_change_lt_0.5,68,0.23792114327182332,0.29587166116712416,0.20179220221471034,-0.05268096769406622,0.828279709815979,0.5
twentieth,stable,catboost,large_negative_le_-0.5,15,0.5713067168209621,0.6255712224736104,0.4977143424341468,0.5713067168209621,1.0133127767565995,1.0
twentieth,stable,catboost,large_positive_ge_0.5,28,0.5560490027388703,0.671987381327347,0.4752180227836088,-0.5499770101412393,1.5514894095872644,0.8571428571428571
twentieth,stable,catboost,small_absolute_change_lt_0.5,72,0.1968489841778668,0.24891889810224285,0.18607306551409455,-0.04649636568137793,0.7253729377632396,0.5972222222222222
twentieth,stable,histgb,large_negative_le_-0.5,15,0.5086921023781336,0.5670626214415203,0.4738746393840558,0.5086921023781336,1.1058093999739516,1.0
twentieth,stable,histgb,large_positive_ge_0.5,28,0.519253013952169,0.6474675171555272,0.4493273078957231,-0.5109105200444312,1.4612488784891808,0.8571428571428571
twentieth,stable,histgb,small_absolute_change_lt_0.5,72,0.22733044462982863,0.2896329869971912,0.19828757068574748,-0.04848950949994582,0.8783124605859537,0.5972222222222222
twentieth,stable,lightgbm,large_negative_le_-0.5,15,0.5067937354174454,0.5616829958142907,0.5314812390605543,0.5067937354174454,0.9523741480143051,1.0
twentieth,stable,lightgbm,large_positive_ge_0.5,28,0.5202136281939693,0.6481868353712189,0.39440027119064236,-0.508062991021276,1.4745373294724384,0.8571428571428571
twentieth,stable,lightgbm,small_absolute_change_lt_0.5,72,0.21599326858326784,0.27309471021440634,0.1996196296338435,-0.032649926737270484,0.9020736884480557,0.5694444444444444
twentieth,stable,ridge,large_negative_le_-0.5,15,0.34120143438163253,0.4190425787284026,0.2917989574943993,0.3266584266292562,0.8732496456645047,0.9333333333333333
twentieth,stable,ridge,large_positive_ge_0.5,28,0.34417762272663893,0.42585810854302303,0.3298891524200619,-0.2583045543380477,0.8772630409864879,0.9285714285714286
twentieth,stable,ridge,small_absolute_change_lt_0.5,72,0.25123808717015517,0.3458084707666274,0.18428975769128056,-0.04570992285921209,1.6162137387862552,0.625
twentieth,stable,xgboost,large_negative_le_-0.5,15,0.5043408769617478,0.5667059184617469,0.46436126828193675,0.5043408769617478,1.0272705499082804,0.9333333333333333
twentieth,stable,xgboost,large_positive_ge_0.5,28,0.559190784022212,0.6791265738728689,0.42085789740085605,-0.534154585269945,1.410964846611023,0.8571428571428571
twentieth,stable,xgboost,small_absolute_change_lt_0.5,72,0.2089275075407285,0.26756454171372046,0.18998985141515726,-0.05317294840545703,0.843601381778717,0.6111111111111112
twentieth,union,catboost,large_negative_le_-0.5,15,0.5906077142873578,0.6411953080106857,0.4861662458946079,0.5906077142873578,0.9610695457748677,1.0
twentieth,union,catboost,large_positive_ge_0.5,28,0.5716035502604776,0.7046028847150764,0.4862625533405326,-0.5650459837342329,1.688142206511304,0.8571428571428571
twentieth,union,catboost,small_absolute_change_lt_0.5,72,0.20238351514947642,0.24869464614584297,0.17586746748900456,-0.05747587364363159,0.6943456610245249,0.5694444444444444
twentieth,union,category_factor,large_negative_le_-0.5,15,0.2685363564586533,0.34890112441714144,0.24572231081174334,0.2576856745916735,0.8550663482764876,1.0
twentieth,union,category_factor,large_positive_ge_0.5,28,0.2806783447823965,0.40818392266607334,0.1569509839040384,-0.21696315122392915,1.3530810063476313,0.9285714285714286
twentieth,union,category_factor,small_absolute_change_lt_0.5,72,0.22577365364028706,0.3487733819603148,0.1621433327916229,-0.034063289365771764,2.0727683177439733,0.6805555555555556
twentieth,union,direct_tracker,large_negative_le_-0.5,15,2.64357723034114,3.024625400921047,2.3697849213496536,-2.64357723034114,6.005052790067585,1.0
twentieth,union,direct_tracker,large_positive_ge_0.5,28,3.1816777780490613,3.998298180683646,2.896181522613424,2.9488966346581837,11.18955047581459,0.8928571428571429
twentieth,union,direct_tracker,small_absolute_change_lt_0.5,72,1.467511019268425,2.107928979239826,1.1625711802489183,-0.22465796309610042,11.562377570929588,0.6944444444444444
twentieth,union,economic_ml_hybrid,large_negative_le_-0.5,15,0.4067098594398445,0.4981921053904982,0.3370747225853854,0.3623466264760336,1.0665028936818777,0.9333333333333333
twentieth,union,economic_ml_hybrid,large_positive_ge_0.5,28,0.33370360348824185,0.4464136159723223,0.2286305977561628,-0.28050518791648993,0.9124901686814826,0.9285714285714286
twentieth,union,economic_ml_hybrid,small_absolute_change_lt_0.5,72,0.21304048555422483,0.29035851921328754,0.16336801353966765,-0.0043763894497410765,1.208804997408527,0.6805555555555556
twentieth,union,histgb,large_negative_le_-0.5,15,0.5766129004827737,0.6525950227284605,0.4892819856251336,0.5766129004827737,1.0234212992116571,0.8666666666666667
twentieth,union,histgb,large_positive_ge_0.5,28,0.5074769789487359,0.6516630790665966,0.40191242582208275,-0.5060269196257753,1.5286359714069535,0.8928571428571429
twentieth,union,histgb,small_absolute_change_lt_0.5,72,0.24019247905217275,0.30025134451105034,0.19891668432575996,-0.02992157279691247,0.9129176732462215,0.5833333333333334
twentieth,union,historical_mean,large_negative_le_-0.5,15,0.9206045369883072,0.9680619821996859,0.8673076923076922,0.9206045369883072,1.4247311827956988,0.0
twentieth,union,historical_mean,large_positive_ge_0.5,28,0.9508281570518771,1.0614887543210232,0.8777389277389278,-0.9508281570518771,2.4023809523809523,0.6071428571428571
twentieth,union,historical_mean,small_absolute_change_lt_0.5,72,0.21889546182559483,0.2582320155946481,0.2325671487603306,0.023216017773491752,0.488888888888889,0.4027777777777778
twentieth,union,last_available_actual,large_negative_le_-0.5,15,0.5133333333333333,0.6180614856144978,0.49999999999999994,0.42000000000000004,1.3,0.6666666666666666
twentieth,union,last_available_actual,large_positive_ge_0.5,28,0.4678571428571428,0.5876709477736184,0.30000000000000004,-0.21071428571428572,1.3,0.9285714285714286
twentieth,union,last_available_actual,small_absolute_change_lt_0.5,72,0.32916666666666666,0.515186050535791,0.2,-0.0041666666666666735,2.5,0.625
twentieth,union,lightgbm,large_negative_le_-0.5,15,0.5568703898433836,0.6212694354276241,0.4909548709763979,0.5568703898433836,0.9387074391477237,0.9333333333333333
twentieth,union,lightgbm,large_positive_ge_0.5,28,0.5134451143125053,0.6548232684929512,0.4284878120488691,-0.5079800230779563,1.5529497279150655,0.8928571428571429
twentieth,union,lightgbm,small_absolute_change_lt_0.5,72,0.22590758787964355,0.28576526868493635,0.1911755625993122,-0.023337337264641107,0.9014525034962443,0.5555555555555556
twentieth,union,no_change,large_negative_le_-0.5,15,0.8533333333333333,0.9003702941938204,0.8,0.8533333333333333,1.3,0.0
twentieth,union,no_change,large_positive_ge_0.5,28,0.9214285714285715,1.0361329203202785,0.75,-0.9214285714285715,2.5,0.0
twentieth,union,no_change,small_absolute_change_lt_0.5,72,0.2027777777777778,0.24267032964268398,0.2,-0.002777777777777778,0.4,0.1388888888888889
twentieth,union,random_forest,large_negative_le_-0.5,15,0.6086156365257617,0.6560736634644846,0.5631904376669082,0.6086156365257617,1.019685972204444,0.9333333333333333
twentieth,union,random_forest,large_positive_ge_0.5,28,0.5429447244802204,0.6751082410515615,0.4207262363167282,-0.5258200967702196,1.503882506699328,0.8928571428571429
twentieth,union,random_forest,small_absolute_change_lt_0.5,72,0.2314903843615925,0.3054219105899535,0.17162450666173512,-0.034178786177845914,0.9831691491515018,0.5138888888888888
twentieth,union,ridge,large_negative_le_-0.5,15,0.5145478996122327,0.6857720394285739,0.31701847377956405,0.4655144571819084,1.5988361640306603,0.8666666666666667
twentieth,union,ridge,large_positive_ge_0.5,28,0.27985380318728287,0.34417191083200754,0.26595524487588496,-0.19494614711809727,0.7189152422095129,1.0
