model,mae,rmse,bias,directional_accuracy
category_factor_regression,0.30867024893075373,0.45644363102332197,0.14399436474684973,0.6470588235294118
gradient_boosting,0.23306884527475805,0.3603831871682556,0.02268752164941167,0.8235294117647058
economic_ml_hybrid,0.26263362467667795,0.3629706685606065,0.03545071617315246,0.7647058823529411
product_level_ridge,0.13288650476784802,0.16604358198984545,-0.0018451192819255349,0.7647058823529411
sector_first_aggregation,0.26829683019113604,0.35154144062707443,0.02071679385027981,0.7647058823529411
random_forest,0.26839963266867284,0.39907756547355955,0.02706178767053377,0.7058823529411765
model_median,0.23250418680669857,0.3310679119392,0.04197408556814868,0.8235294117647058
