model,mae,rmse,bias,directional_accuracy
category_factor_regression,0.29012396831534565,0.42429074405297085,0.15508428224306264,0.6666666666666666
gradient_boosting,0.24706982237579092,0.36041946442219364,0.028876489279326432,0.8333333333333334
economic_ml_hybrid,0.22977451744588973,0.3177568177631533,0.038850748082783965,0.7777777777777778
product_level_ridge,0.13083299877799515,0.16236667821373985,-0.0014582814179068106,0.8333333333333334
sector_first_aggregation,0.2212987652112612,0.30046559505104564,0.03225404948725036,0.7777777777777778
random_forest,0.24398280540190256,0.37347551791139993,0.008535022851301541,0.8333333333333334
model_median,0.20093425538793597,0.29235353584597573,0.04657168287085178,0.8333333333333334
