target_month,actual_ppi_mom_pct,category_factor_regression,gradient_boosting,economic_ml_hybrid,product_level_ridge,sector_first_aggregation,random_forest,model_median,category_factor_regression_error_pp,gradient_boosting_error_pp,economic_ml_hybrid_error_pp,product_level_ridge_error_pp,sector_first_aggregation_error_pp,random_forest_error_pp,model_median_error_pp
2025-01,-0.2,-0.30003468129224314,-0.4968023402003886,-0.31333406935782493,-0.32683953635831936,-0.3259995488847764,-0.2556191640195316,-0.31966680912130063,-0.10003468129224313,-0.2968023402003886,-0.11333406935782492,-0.12683953635831935,-0.12599954888477638,-0.0556191640195316,-0.11966680912130062
2025-03,-0.4,0.5140616601861385,0.600903079948347,0.5768232007460043,0.008701904012406999,0.5316717064561676,0.37326512584637606,0.522866683321153,0.9140616601861385,1.0009030799483472,0.9768232007460044,0.408701904012407,0.9316717064561676,0.7732651258463761,0.9228666833211531
2025-04,-0.4,-0.26004212560334294,-0.28703472315703016,-0.2753923447183187,-0.23501923641393066,-0.3155553055928278,-0.3062305525493025,-0.28121353393767445,0.13995787439665708,0.11296527684296986,0.12460765528168133,0.16498076358606936,0.08444469440717223,0.09376944745069754,0.11878646606232557
2025-05,-0.4,-0.3255674899453539,-0.500659913702392,-0.46294935832352335,-0.4180326423154952,-0.36385440890372645,-0.3232119197931699,-0.3909435256096108,0.07443251005464613,-0.10065991370239202,-0.06294935832352333,-0.018032642315495173,0.03614559109627358,0.07678808020683014,0.009056474390389202
2025-06,-0.4,-0.36618413472273426,-0.3014863901576397,-0.47495774834319904,-0.3684658823378545,-0.3659197979012611,-0.36382255322292084,-0.36605196631199766,0.033815865277265766,0.0985136098423603,-0.07495774834319902,0.03153411766214553,0.03408020209873891,0.03617744677707918,0.033948033688002366
2025-07,-0.2,-0.18878558299600182,0.050809900929052264,0.0387445894034732,-0.08295841778049766,-0.02946391647930384,-0.06120877918377915,-0.045336347831541494,0.011214417003998195,0.25080990092905225,0.2387445894034732,0.11704158221950235,0.17053608352069616,0.13879122081622086,0.1546636521684585
2025-08,0.0,-0.0548626084527119,0.037155395165998424,0.14425847559913427,0.02541246612219866,0.09592880405028979,0.05791683409183408,0.04753611462891626,-0.0548626084527119,0.037155395165998424,0.14425847559913427,0.02541246612219866,0.09592880405028979,0.05791683409183408,0.04753611462891626
2025-09,0.1,-0.2253826488328368,0.09975732033959142,-0.09447529342292633,-0.14524698319585957,-0.1902094515451303,0.0003221371221371264,-0.11986113830939296,-0.3253826488328368,-0.00024267966040858457,-0.19447529342292635,-0.24524698319585958,-0.29020945154513034,-0.09967786287786289,-0.21986113830939297
2025-11,0.1,0.5140616601861385,0.600903079948347,0.5768232007460043,0.008701904012406999,0.5316717064561676,0.37326512584637606,0.522866683321153,0.41406166018613855,0.500903079948347,0.47682320074600437,-0.091298095987593,0.4316717064561676,0.2732651258463761,0.42286668332115307
2025-12,0.2,-0.1569230187078653,0.20869234023334743,0.04530268969502263,0.022736407989524855,-0.050607838132770866,0.0830611522736522,0.03401954884227374,-0.3569230187078653,0.008692340233347418,-0.15469731030497738,-0.17726359201047515,-0.2506078381327709,-0.11693884772634781,-0.16598045115772628
2026-01,0.4,0.2583792898833344,0.23810095676066964,0.2627754583148453,0.37550918052727383,0.24743415183736606,0.30402048160173173,0.2605773740990899,-0.1416207101166656,-0.16189904323933038,-0.13722454168515474,-0.02449081947272619,-0.15256584816263397,-0.0959795183982683,-0.13942262590091015
2026-02,0.4,0.37419255849955496,0.4643842932775865,0.419716411286293,0.43296005309493313,0.31658216838636816,0.37758737581862595,0.39865189355245945,-0.02580744150044506,0.06438429327758649,0.01971641128629298,0.032960053094933106,-0.08341783161363187,-0.022412624181374075,-0.0013481064475405757
2026-03,1.0,1.0407155856302812,0.600903079948347,0.7196558093083415,0.8390198292175279,0.8173369235808419,0.512408722527473,0.7684963664445916,0.040715585630281215,-0.399096920051653,-0.2803441906916585,-0.16098017078247207,-0.18266307641915813,-0.48759127747252695,-0.23150363355540837
2026-04,1.7,1.4892739342522205,0.9540189691009352,1.23697541238953,1.5877539866490789,1.4475844896997345,0.5984753787878787,1.3422799510446324,-0.2107260657477794,-0.7459810308990648,-0.46302458761046994,-0.1122460133509211,-0.25241551030026543,-1.1015246212121212,-0.3577200489553676
2026-05,0.5,0.7880563017428286,0.2409419298850571,0.38128240572656463,0.3224806895548993,0.33176544865515445,0.36071387293262314,0.3462396607938888,0.2880563017428286,-0.25905807011494286,-0.11871759427343537,-0.17751931044510072,-0.16823455134484555,-0.13928612706737686,-0.1537603392061112
2026-06,-0.3,0.43110816970426236,-0.2537873498672293,-0.1882008171830638,-0.11376740562559262,-0.19683330988008474,0.012503447247197248,-0.15098411140432821,0.7311081697042623,0.046212650132770705,0.11179918281693618,0.18623259437440737,0.10316669011991525,0.31250344724719725,0.14901588859567177
2026-07,-0.7,0.39950809581498475,-0.4204525486862895,-0.3751453261214639,-0.5024910248308683,-0.3056701459188168,-0.26496300019425,-0.34040773602014035,1.0995080958149848,0.27954745131371045,0.32485467387853606,0.19750897516913168,0.39432985408118315,0.43503699980574995,0.3595922639798596
2026-08,0.4,0.6599421150284738,0.4834297272615659,0.28141076974521806,0.3432956421558447,0.20471121488711475,0.4751467261904762,0.40922118417316045,0.25994211502847375,0.08342972726156589,-0.11858923025478196,-0.05670435784415534,-0.19528878511288528,0.07514672619047619,0.009221184173160424
