target_month,actual_ppi_mom_pct,pred__category_factor_regression,pred__gradient_boosting,pred__economic_ml_hybrid,pred__product_level_ridge,pred__sector_first_aggregation,pred__random_forest,model_median,error__category_factor_regression,error__gradient_boosting,error__economic_ml_hybrid,error__product_level_ridge,error__sector_first_aggregation,error__random_forest,error__model_median
2025-01,-0.2,-0.25539708221925456,-0.22755530765679116,-0.29835078151051964,-0.27023126101534733,-0.21592268313607937,-0.20215849567099564,-0.24147619493802286,-0.055397082219254545,-0.02755530765679115,-0.09835078151051962,-0.07023126101534732,-0.015922683136079363,-0.0021584956709956304,-0.04147619493802285
2025-03,-0.4,0.5031764347229387,0.6015628557464586,0.5772254499639291,0.004402943582016261,0.5082295207582518,0.41369678099678103,0.5057029777405952,0.9031764347229387,1.0015628557464586,0.9772254499639291,0.4044029435820163,0.9082295207582518,0.813696780996781,0.9057029777405953
2025-04,-0.4,-0.29170175593059333,-0.3750256850883048,-0.3541950048135156,-0.3138186222530076,-0.33543691780073404,-0.3350771284271286,-0.33525702311393135,0.10829824406940669,0.024974314911695217,0.0458049951864844,0.08618137774699242,0.06456308219926599,0.06492287157287141,0.06474297688606867
2025-05,-0.4,-0.3538895337911393,-0.4039842638878124,-0.41359977965402495,-0.43598631436426855,-0.3565952806156443,-0.30917775974026007,-0.38028977225172833,0.04611046620886072,-0.003984263887812367,-0.013599779654024924,-0.035986314364268523,0.04340471938435575,0.09082224025973995,0.01971022774827169
2025-06,-0.4,-0.3525233642144953,-0.3074257195939876,-0.35726697715870864,-0.31157122277242105,-0.3052962156082409,-0.29757440476190494,-0.30949847118320434,0.047476635785504706,0.0925742804060124,0.04273302284129138,0.08842877722757897,0.09470378439175914,0.10242559523809508,0.09050152881679568
2025-07,-0.2,-0.1680668598105859,0.0009250532325755733,0.08672294157091578,-0.10071663574899811,-0.06819677400969354,0.0022556827675248724,-0.03363586038855898,0.03193314018941412,0.2009250532325756,0.2867229415709158,0.0992833642510019,0.13180322599030647,0.2022556827675249,0.16636413961144103
2025-08,0.0,-0.05846744376844508,-0.09841813425826694,0.1310953727088969,0.03513581141050606,0.03115246946806185,0.03391513442697654,0.03253380194751919,-0.05846744376844508,-0.09841813425826694,0.1310953727088969,0.03513581141050606,0.03115246946806185,0.03391513442697654,0.03253380194751919
2025-09,0.1,-0.21838695369710742,0.06318074934641107,-0.07284523243485852,-0.1501066333205218,-0.20647707660217074,-0.016782306582306585,-0.11147593287769016,-0.31838695369710746,-0.03681925065358893,-0.17284523243485853,-0.2501066333205218,-0.3064770766021707,-0.1167823065823066,-0.21147593287769018
2025-11,0.1,0.5031764347229387,0.6015628557464586,0.5772254499639291,0.004402943582016261,0.5082295207582518,0.41369678099678103,0.5057029777405952,0.40317643472293874,0.5015628557464586,0.4772254499639291,-0.09559705641798374,0.4082295207582518,0.313696780996781,0.40570297774059527
2025-12,0.2,-0.16715112858109277,0.24852842512682605,0.07983301216412927,-0.009971875300753184,-0.06543246677665579,0.07089289599289597,0.030460510346071393,-0.3671511285810928,0.048528425126826036,-0.12016698783587074,-0.2099718753007532,-0.2654324667766558,-0.12910710400710404,-0.16953948965392862
2026-01,0.4,0.2881051905372381,0.233675234713138,0.21663660409395713,0.42687995872268664,0.2123796795280722,0.307672578810079,0.2608902126251881,-0.11189480946276192,-0.16632476528686202,-0.1833633959060429,0.026879958722686614,-0.1876203204719278,-0.09232742118992104,-0.13910978737481194
2026-03,1.0,1.0298686058450177,0.6015628557464586,0.698261691844904,0.8500870159845526,0.7503020045202018,0.5591219252969254,0.7242818481825529,0.029868605845017715,-0.3984371442535414,-0.30173830815509595,-0.1499129840154474,-0.2496979954797982,-0.4408780747030746,-0.2757181518174471
2026-04,1.7,1.2115524021654778,0.9363927323518029,1.0299607046361683,1.540087733035536,1.1657473596926609,0.5783909548784549,1.0978540321644146,-0.4884475978345222,-0.7636072676481971,-0.6700392953638317,-0.15991226696446392,-0.5342526403073391,-1.121609045121545,-0.6021459678355854
2026-05,0.5,0.6714958396094814,0.28842856314885856,0.26124427191161814,0.36057851822261333,0.22089211299127565,0.3514907647907647,0.3199596639698116,0.17149583960948145,-0.21157143685114144,-0.23875572808838186,-0.13942148177738667,-0.27910788700872435,-0.1485092352092353,-0.18004033603018837
2026-06,-0.3,0.49762219440609734,-0.38152368031924294,-0.2224592914248231,-0.20724068776333188,-0.11250125021597451,0.02829967532467532,-0.1598709689896532,0.7976221944060973,-0.08152368031924295,0.07754070857517689,0.09275931223666811,0.18749874978402548,0.3282996753246753,0.1401290310103468
2026-07,-0.7,0.4690505757764234,-0.4422826353863762,-0.2046310435870657,-0.41921976854710885,-0.11296926838224375,-0.19201868686868687,-0.1983248652278763,1.1690505757764234,0.25771736461362377,0.49536895641293427,0.2807802314528911,0.5870307316177562,0.5079813131313131,0.5016751347721237
2026-08,0.4,0.539440644923546,0.44608396907179243,0.26780478666866003,0.36592106875309705,0.13408076088541768,0.4534059981684981,0.40600251891244477,0.13944064492354602,0.04608396907179241,-0.13219521333134,-0.03407893124690298,-0.2659192391145824,0.05340599816849806,0.006002518912444743
